,feature_name,instance_level,global_attention
0,PM_US Post,0.15660876,0.12863974
1,DEWP,0.115749374,0.12396237
2,HUMI,0.1180712,0.12462525
3,PRES,0.11724364,0.11499007
4,TEMP,0.13057224,0.12737662
5,Iws,0.12203949,0.1299691
6,precipitation,0.12224196,0.12705253
7,Iprec,0.1174733,0.123384304
