,feature_name,instance_level,global_attention
0,PM_US Post,0.2097954,0.12013598
1,DEWP,0.10694562,0.12717585
2,HUMI,0.10954608,0.12882
3,PRES,0.111521356,0.10729464
4,TEMP,0.122939,0.13398042
5,Iws,0.11353237,0.13155317
6,precipitation,0.11463024,0.12812567
7,Iprec,0.111089945,0.12291424
