,feature_name,instance_level,global_attention
0,PM_US Post,0.21296142,0.11890668
1,DEWP,0.106347926,0.12793195
2,HUMI,0.10918381,0.12935326
3,PRES,0.11132022,0.10715559
4,TEMP,0.12257847,0.13399106
5,Iws,0.11289264,0.1313271
6,precipitation,0.11409308,0.12831101
7,Iprec,0.11062239,0.12302341
